distribution,param_geom_p,param_geom_scale,opp_mean_empirical,opp_std_empirical,best_speed_pct,best_research_pct,best_scale_pct,implied_hit_rate,best_pnl
"Geom(p=0.035,scale=2.50)",0.035,2.5,49.825,35.516642225863635,27.5,17.707427909918543,54.79257209008145,0.4024,145899.0168196816
"Geom(p=0.035,scale=4.00)",0.035,4.0,67.368,35.96020823076529,28.0,17.605929858891987,54.39407014110802,0.2832,86612.35334278713
"Geom(p=0.035,scale=5.50)",0.035,5.5,71.231,35.59257140190913,22.0,18.816746065029015,59.18325393497099,0.24240000000000006,79969.94614873639
"Geom(p=0.035,scale=7.00)",0.035,7.0,77.87,33.16810365396249,14.0,20.408577759527606,65.5914222404724,0.18159999999999998,60704.968488456
"Geom(p=0.035,scale=8.50)",0.035,8.5,80.969,30.914746303342035,17.0,19.814493249186683,63.18550675081332,0.16959999999999997,48682.45402962655
"Geom(p=0.035,scale=10.00)",0.035,10.0,81.18,31.84034547551267,20.0,19.21702149899474,60.78297850100526,0.19440000000000002,57767.55559479297
"Geom(p=0.035,scale=11.50)",0.035,11.5,85.028,29.412577513710016,23.0,18.61600110520247,58.38399889479753,0.18399999999999994,46992.91473849768
"Geom(p=0.035,scale=13.00)",0.035,13.0,83.63,31.275631088756626,13.0,20.605879244178247,66.39412075582175,0.1744,57939.09522019692
"Geom(p=0.035,scale=14.50)",0.035,14.5,85.957,28.884237067992636,14.5,20.30979244297223,65.19020755702778,0.16079999999999994,47278.427465246874
"Geom(p=0.035,scale=16.00)",0.035,16.0,87.74,27.47472292853924,0.0,23.1402648585383,76.8597351414617,0.13360000000000005,49176.13600371219
"Geom(p=0.053,scale=2.50)",0.05333333333333334,2.5,39.3525,32.223430819048424,27.5,17.707427909918543,54.79257209008145,0.4864,186792.44975420757
"Geom(p=0.053,scale=4.00)",0.05333333333333334,4.0,52.82,36.1107130918236,32.0,16.78980663328829,51.21019336671171,0.40800000000000003,132451.21348181835
"Geom(p=0.053,scale=5.50)",0.05333333333333334,5.5,60.6195,36.78910123596389,22.0,18.816746065029015,59.18325393497099,0.2952,108280.23144846113
"Geom(p=0.053,scale=7.00)",0.05333333333333334,7.0,66.469,36.93899076856324,28.0,17.605929858891987,54.39407014110802,0.3024,95874.20780670492
