speed_pct,research_pct,scale_pct,research_value,scale_value,gross_research_times_scale,pnl_mult_0.1,pnl_mult_0.2,pnl_mult_0.3,pnl_mult_0.4,pnl_mult_0.5,pnl_mult_0.6,pnl_mult_0.7,pnl_mult_0.8,pnl_mult_0.9
1.2,22.90856287946796,75.89143712053203,137558.12714589297,5.312400598437242,730763.8769697481,23076.38769697481,96152.77539394962,169229.1630909244,242305.55078789924,315381.93848487403,388458.3261818488,461534.7138788236,534611.1015757985,607687.4892727733
1.3,22.88923484696102,75.81076515303899,137523.07967135773,5.306753560712728,729801.0927261579,22980.109272615795,95960.21854523159,168940.32781784734,241920.43709046318,314900.54636307893,387880.6556356947,460860.7649083105,533840.8741809264,606820.9834535421
1.4,22.86990379128348,75.73009620871652,137487.99834096248,5.301106734610156,728838.5539333462,22883.855393334627,95767.71078666925,168651.56618000384,241535.4215733385,314419.2769666731,387303.1323600077,460186.9877533423,533070.843146677,605954.6985400115
1.5,22.85056970856626,75.64943029143375,137452.88308837367,5.295460120400362,727876.2608285361,22787.626082853618,95575.25216570724,168362.87824856082,241150.50433141447,313938.13041426806,386725.75649712165,459513.38257997524,532301.008662829,605088.6347456825
1.6,22.83123259493134,75.56876740506867,137417.73384706158,5.289813718354806,726914.213649416,22691.421364941605,95382.84272988321,168074.2640948248,240765.68545976642,313457.106824708,386148.5281896496,458839.94955459115,531531.3709195328,604222.7922844744
1.7,22.811892446491775,75.48810755350821,137382.55055029946,5.2841675287455745,725952.4126341399,22595.24126341399,95190.48252682798,167785.72379024196,240380.96505365596,312976.20631706994,385571.4475804839,458166.6888438979,530761.9301073119,603357.171370726
1.8,22.79254925935162,75.40745074064839,137347.3331311628,5.278521551845387,724990.8580213308,22499.08580213308,94998.17160426616,167497.25740639924,239996.34320853231,312495.4290106654,384994.5148127985,457493.6006149315,529992.6864170646,602491.7722191977
1.9,22.77320302960592,75.32679697039407,137312.08152252846,5.272875787927585,724029.5500500791,22402.955005007912,94805.91001001582,167208.86501502374,239611.82002003165,312014.77502503956,384417.7300300475,456820.6850350553,529223.6400400633,601626.5950450712
2.0,22.753853753340685,75.24614624665932,137276.79565707414,5.267230237266152,723068.4889599477,22306.84889599477,94613.69779198954,166920.54668798432,239227.3955839791,311534.24447997386,383841.09337596863,456147.94227196334,528454.7911679582,600761.640063953
2.1,22.73450142663284,75.16549857336716,137241.47546727725,5.261584900135701,722107.6749909703,22210.767499097026,94421.53499819405,166632.3024972911,238843.0699963881,311053.83749548515,383264.6049945822,455475.37249367917,527686.1399927762,599896.9074918733
2.2,22.715146045550203,75.0848539544498,137206.12088541428,5.255939776811485,721147.1083836539,22114.710838365398,94229.4216767308,166344.13251509616,238458.8433534616,310573.55419182696,382688.2650301923,454802.9758685577,526917.6867069232,599032.3975452885
2.3,22.69578760615149,75.0042123938485,137170.73184356006,5.250294867569395,720186.7893789812,22018.67893789812,94037.35787579624,166056.03681369437,238074.71575159248,310093.3946894906,382112.07362738875,454130.7525652868,526149.431503185,598168.1104410831
2.4,22.67642610448621,74.92357389551378,137135.30827358676,5.244650172685965,719226.7182184099,21922.671821840995,93845.34364368199,165768.01546552297,237690.68728736398,309613.35910920496,381536.03093104594,453458.7027528869,525381.374574728,597304.046396569
2.5,22.657061536594714,74.84293846340529,137099.8501071633,5.23900569243837,718266.8951438759,21826.689514387588,93653.37902877518,165480.06854316275,237306.75805755035,309133.4475719379,380960.1370863255,452786.8266007131,524613.5161151007,596440.2056294883
