timestamp,S,L_eff,H_c,H_p
1777306365271,779566340,779566340,0,0
1777306365371,783154198,783154198,0,0
1777306365472,786899198,786899198,0,0
1777306365577,790576198,790576198,0,0
1777306365683,794534198,794534198,0,0
1777306365787,979713.7175078323,979713.7175078323,0,0
1777306365892,799876198,799876198,0,0
1777306365996,801755198,801755198,0,0
1777306366102,803470198,803470198,0,0
1777306366211,803470198,803470198,0,0
1777306366325,803470198,803470198,0,0
1777306366444,803470198,803470198,0,0
1777306366593,803470099,803470099,0,0
1777306366701,803470099,803470099,0,0
1777306366812,803470099,803470099,0,0
1777306366928,803470099,803470099,0,0
1777306367042,803470099,803470099,0,0
1777306367154,803470099,803470099,0,0
1777306367303,803470040,803470040,0,0
1777306367421,803470040,803470040,0,0
1777306367538,803469997,803469997,0,0
1777306367656,803469997,803469997,0,0
1777306367771,803469997,803469997,0,0
1777306367880,0.7607419135511908,2,0,1.6290124999999998
1777306368033,1.0124788226340489,2,0,0.9753499582310589
1777306368144,0.8913514839136724,2,0,1.2437837778858745
1777306368250,1.146329346775654,2,0,0.7446992922457359
1777306368363,0.9612506491412096,2,0,1.0806227821919487
1777306368477,1.2143226118957104,2,0,0.6470087770808683
1777306368591,1.4819011125151165,2,0,0.34961771950191334
1777306368709,1.695671856581111,2,0,0.17947348848054176
1777306368818,1.8059385282506972,2,0,0.10745740716727398
